"","ltc","domain","source","Karolinska","sex","CPRD_prev","SIDIAP_prev","UKB_Ncases","UKB_Ncontrols","UKB_Neff","UKB_h2","UKB_h2SE","UKB_h2Z","FinnGen_endpoint","FinnGen_h2Z","FinnGen_UKBrg","Consortium_PMID","Consortium_UKB","Consortium_FinnGen","Consortium_h2Z","Consortium_UKBrg","MA_data","MA_Neff","In_final_72"
"1","Abdominal aortic aneurysm","Diseases of the circulatory system","CALIBER","full","both",0.69,0.8,3198,446999,12701,0.13,0.02,6.05,"I9_ABAORTANEUR",6.28,0.86,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",20549,"yes"
"2","Alcohol Problems","Mental and behavioural disorders","CALIBER","partial","both",5.94,2.39,17823,432374,68470,0.06,0.01,10.02,"AUD_SWEDISH",15.57,0.77,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",68470,"yes"
"3","All stroke","Diseases of the circulatory system","Revised CALIBER","","both",6.57,2.38,15505,434692,59884,0.04,0.01,6.61,"I9_STR",5.89,1.12,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",120225,"yes"
"4","Allergic and chronic rhinitis","Diseases of the respiratory system","CALIBER","see notes","both",14.42,8.8,33745,416452,124862,0.04,0.01,8.17,"ALLERG_RHINITIS",6.27,0.94,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",122610,"yes"
"5","Anxiety disorders","Mental and behavioural disorders","CALIBER","full","both",17.69,21.66,48001,402196,171532,0.07,0,17.32,"F5_ALLANXIOUS",13,0.83,26754954,FALSE,FALSE,2.61,0.68,"Studies used: UKB and FinnGen.",196832,"yes"
"6","Asthma","Diseases of the respiratory system","CALIBER","partial","both",12.45,5.6,52806,397391,186448,0.12,0.01,14.41,"J10_ASTHMA_EXMORE",13.89,0.82,31959851,TRUE,FALSE,10.76,1.03,"Studies used: FinnGen and Consortium data (UKB in Consortium).",186468,"yes"
"7","Atopic dermatitis","Diseases of the skin and subcutaneous tissue","Revised CALIBER","partial","both",6.58,1.74,11730,438467,45697,0.03,0.01,3.91,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"8","Atrial fibrillation","Diseases of the circulatory system","CALIBER","full","both",10.57,10.25,38414,411783,140545,0.14,0.02,7.91,"I9_AF",9.42,0.88,29892015,TRUE,FALSE,11.38,0.93,"Studies used: FinnGen and Consortium data (UKB in Consortium).",205309,"yes"
"9","Bronchiectasis","Diseases of the respiratory system","Revised CALIBER","","both",1.73,2.25,6584,443613,25951,0.03,0.01,2.54,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"10","Bursitis","Diseases of the musculoskeletal system and connective tissue","Revised CALIBER","","both",9.42,2.54,17967,432230,69000,0.03,0.01,5.22,"M13_SOFTOVERUSE",4.53,0.75,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",69000,"yes"
"11","Calcification (including spurs)","Diseases of the musculoskeletal system and connective tissue","Revised CALIBER","","both",0.75,1.6,1707,448490,6802,0.04,0.03,1.62,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"12","Carpal tunnel syndrome","Diseases of the nervous system","CALIBER","full","both",8.19,6.19,21503,428694,81904,0.14,0.01,17.42,"G6_CARPTU",17.81,0.84,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",127071,"yes"
"13","Cataract","Diseases of the eye and adnexa","CALIBER","full","both",18.63,23.76,63224,386973,217380,0.07,0,15.6,"H7_CATARACTSENILE",11.22,0.93,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",318353,"yes"
"14","Cholelithiasis","Diseases of the digestive system","CALIBER","partial","both",6.33,6.36,28444,421753,106587,0.1,0.01,10.86,"K11_CHOLELITH",8.14,0.85,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",185109,"yes"
"15","Chronic kidney disease","Diseases of the genitourinary system","QOF","","both",16.94,16.5,27939,422258,104820,0.1,0.01,14.73,"N14_CHRONKIDNEYDIS",4.5,0.71,31152163,FALSE,FALSE,6.93,0.92,"Studies used: UKB and Consortium data (FinnGen not suitable).",158497,"yes"
"16","Chronic sinusitis","Diseases of the respiratory system","CALIBER","full","both",8.17,0.73,18069,432128,69375,0.04,0.01,6.72,"J10_CHRONSINUSITIS",10.31,0.69,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",69375,"yes"
"17","COPD","Diseases of the respiratory system","Revised CALIBER","partial","both",7.94,8.41,24508,425689,92695,0.14,0.01,17.47,"J10_COPD",11.32,0.8,30804561,TRUE,FALSE,13.7,0.53,"Studies used: UKB and FinnGen.",122320,"yes"
"18","Coronary Heart Disease","Diseases of the circulatory system","Revised CALIBER","","both",14.89,8.39,56453,393744,197496,0.12,0.01,16.94,"I9_IHD",12.43,0.92,36474045,TRUE,FALSE,13.76,0.94,"Studies used: FinnGen and Consortium data (UKB in Consortium).",440395,"yes"
"19","Dementia","Mental and behavioural disorders","CALIBER","partial - we're not including F02","both",4.7,5.07,7971,442226,31319,0.05,0.01,3.77,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"no"
"20","Depression","Mental and behavioural disorders","CALIBER","full","both",19.25,15.49,57174,393023,199652,0.08,0,16.98,"F5_DEPRESSIO",15.08,0.79,30718901,TRUE,FALSE,24.21,0.92,"No meta-analysis needed, only using Consortium data (FinnGen not suitabe, UKB included in Consortium).",449150,"yes"
"21","Diabetes type 2","Endocrine, nutritional and metabolic diseases","Revised CALIBER","","both",17.1,24.54,39316,410881,143530,0.21,0.01,19.18,"T2D",17.17,0.91,35551307,TRUE,FALSE,20.22,0.98,"Studies used: FinnGen and Consortium data (UKB in Consortium).",320492,"yes"
"22","Diverticular disease of intestine (acute and chronic)","Diseases of the digestive system","CALIBER","partial","both",12.57,8.17,66540,383657,226821,0.13,0.01,19.32,"K11_DIVERTIC",14.27,0.92,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",251811,"yes"
"23","Enthesopathies of the lower body","Diseases of the musculoskeletal system and connective tissue","Revised CALIBER","","both",12.56,4.83,21596,428601,82240,0.03,0.01,5.62,"M13_ENTESOPATHYLOW",6.65,0.81,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",80922,"yes"
"24","Enthesopathies of the shoulder","Diseases of the musculoskeletal system and connective tissue","Revised CALIBER","","both",12,16.63,32019,418178,118967,0.06,0.01,12.67,"M13_SHOULDER",18.45,0.8,NA,NA,NA,NA,NA,"Studies used: UKB and FinnGen.",185326,"yes"
"25","Enthesopathies of the upper body","Diseases of the musculoskeletal system and connective tissue","Revised CALIBER","","both",26.98,19.98,60810,389387,210385,0.05,0,14.88,"",NA,NA,NA,NA,NA,NA,NA,"No meta-analysis needed, only using UKB.",210385,"yes"
