"","ICD-10 domain","Number of LTCs"
"1","Diseases of the circulatory system",12
"2","Diseases of the genitourinary system",6
"3","Diseases of the respiratory system",4
"4","Diseases of the digestive system",7
"5","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism",2
"6","Diseases of the musculoskeletal system and connective tissue",16
"7","Mental and behavioural disorders",4
"8","Diseases of the nervous system",6
"9","Diseases of the eye and adnexa",3
"10","Diseases of the ear and mastoid process",2
"11","Endocrine, nutritional and metabolic diseases",4
"12","Neoplasms",5
"13","Diseases of the skin and subcutaneous tissue",1
"14","Total",72
