,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
1,"Tendon disorders Schizophrenia, schizotypal and delusional disorders",Tendon disorders,"Schizophrenia, schizotypal and delusional disorders",0.49,0.47,0.51,<0.0001,0,0.95,<0.0001,<0.0001,0
2,"Schizophrenia, schizotypal and delusional disorders Gout","Schizophrenia, schizotypal and delusional disorders",Gout,0.53,0.49,0.56,<0.0001,0.05,0.82,<0.0001,<0.0001,0
3,"Enthesopathies of the upper body Schizophrenia, schizotypal and delusional disorders",Enthesopathies of the upper body,"Schizophrenia, schizotypal and delusional disorders",0.53,0.51,0.55,<0.0001,1.82,0.18,<0.0001,<0.0001,0
4,"Carpal tunnel syndrome Schizophrenia, schizotypal and delusional disorders",Carpal tunnel syndrome,"Schizophrenia, schizotypal and delusional disorders",0.54,0.51,0.57,<0.0001,4.82,0.03,<0.0001,<0.0001,0
5,"Schizophrenia, schizotypal and delusional disorders Primary Malignancy_Prostate","Schizophrenia, schizotypal and delusional disorders",Primary Malignancy_Prostate,0.56,0.51,0.62,<0.0001,0.11,0.74,<0.0001,<0.0001,0
6,"Enthesopathies of the shoulder Schizophrenia, schizotypal and delusional disorders",Enthesopathies of the shoulder,"Schizophrenia, schizotypal and delusional disorders",0.56,0.54,0.59,<0.0001,5.51,0.02,<0.0001,<0.0001,0
7,"Schizophrenia, schizotypal and delusional disorders Fibromatoses","Schizophrenia, schizotypal and delusional disorders",Fibromatoses,0.57,0.51,0.62,<0.0001,0.15,0.7,<0.0001,<0.0001,0
8,"Schizophrenia, schizotypal and delusional disorders Polymyalgia Rheumatica","Schizophrenia, schizotypal and delusional disorders",Polymyalgia Rheumatica,0.58,0.52,0.64,<0.0001,0.56,0.45,<0.0001,<0.0001,0
9,Diabetes type 2 Raynaud's syndrome,Diabetes type 2,Raynaud's syndrome,0.59,0.57,0.61,<0.0001,4.3,0.04,<0.0001,<0.0001,0
10,"Enthesopathies of the lower body Schizophrenia, schizotypal and delusional disorders",Enthesopathies of the lower body,"Schizophrenia, schizotypal and delusional disorders",0.59,0.56,0.62,<0.0001,0.93,0.33,<0.0001,<0.0001,0
11,"Bursitis Schizophrenia, schizotypal and delusional disorders",Bursitis,"Schizophrenia, schizotypal and delusional disorders",0.6,0.57,0.64,<0.0001,0.05,0.83,<0.0001,<0.0001,0
12,"Intervertebral disc disorders Schizophrenia, schizotypal and delusional disorders",Intervertebral disc disorders,"Schizophrenia, schizotypal and delusional disorders",0.63,0.59,0.66,<0.0001,2.07,0.15,<0.0001,<0.0001,0
13,"Schizophrenia, schizotypal and delusional disorders Chronic sinusitis","Schizophrenia, schizotypal and delusional disorders",Chronic sinusitis,0.63,0.59,0.67,<0.0001,0.25,0.61,<0.0001,<0.0001,0
14,"Primary Malignancy_Other Skin and subcutaneous tissue Schizophrenia, schizotypal and delusional disorders",Primary Malignancy_Other Skin and subcutaneous tissue,"Schizophrenia, schizotypal and delusional disorders",0.64,0.61,0.68,<0.0001,19.23,<0.0001,<0.0001,<0.0001,0
15,Obesity Raynaud's syndrome,Obesity,Raynaud's syndrome,0.64,0.62,0.66,<0.0001,72.94,<0.0001,<0.0001,<0.0001,0
16,"Migraine Schizophrenia, schizotypal and delusional disorders",Migraine,"Schizophrenia, schizotypal and delusional disorders",0.65,0.61,0.69,<0.0001,6.35,0.01,<0.0001,<0.0001,0
17,Diabetes type 2 Scoliosis,Diabetes type 2,Scoliosis,0.67,0.66,0.69,<0.0001,4.57,0.03,<0.0001,<0.0001,0
18,"Schizophrenia, schizotypal and delusional disorders Urolithiasis","Schizophrenia, schizotypal and delusional disorders",Urolithiasis,0.67,0.62,0.73,<0.0001,6.76,0.01,<0.0001,<0.0001,0
19,Obesity Osteoporosis,Obesity,Osteoporosis,0.68,0.67,0.68,<0.0001,275.18,<0.0001,<0.0001,<0.0001,0
20,Diabetes type 2 Osteoporosis,Diabetes type 2,Osteoporosis,0.68,0.68,0.69,<0.0001,224.22,<0.0001,<0.0001,<0.0001,0
21,"Schizophrenia, schizotypal and delusional disorders Erectile dysfunction","Schizophrenia, schizotypal and delusional disorders",Erectile dysfunction,0.7,0.66,0.74,<0.0001,2.57,0.11,<0.0001,<0.0001,0
22,"Schizophrenia, schizotypal and delusional disorders Nonrheumatic valve disease","Schizophrenia, schizotypal and delusional disorders",Nonrheumatic valve disease,0.71,0.67,0.76,<0.0001,8.79,<0.0001,<0.0001,<0.0001,0
23,"Schizophrenia, schizotypal and delusional disorders Osteoarthritis (excl spine)","Schizophrenia, schizotypal and delusional disorders",Osteoarthritis (excl spine),0.73,0.71,0.75,<0.0001,0.87,0.35,<0.0001,<0.0001,0
24,"Spondylosis Schizophrenia, schizotypal and delusional disorders",Spondylosis,"Schizophrenia, schizotypal and delusional disorders",0.74,0.71,0.77,<0.0001,2.51,0.11,<0.0001,<0.0001,0
25,"Schizophrenia, schizotypal and delusional disorders Retinal detachments and breaks","Schizophrenia, schizotypal and delusional disorders",Retinal detachments and breaks,0.74,0.65,0.84,<0.0001,7.05,0.01,<0.0001,<0.0001,0
26,"Raynaud's syndrome Schizophrenia, schizotypal and delusional disorders",Raynaud's syndrome,"Schizophrenia, schizotypal and delusional disorders",0.74,0.66,0.84,<0.0001,2.07,0.15,<0.0001,<0.0001,0
27,"Rheumatoid Arthritis Schizophrenia, schizotypal and delusional disorders",Rheumatoid Arthritis,"Schizophrenia, schizotypal and delusional disorders",0.74,0.67,0.82,<0.0001,7.48,0.01,<0.0001,<0.0001,0
