"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"1","Primary Malignancy_Colorectal","Hearing loss",0,-0.08,0.08,0.04,"0.98","0.99","0.99","Neoplasms","Diseases of the ear and mastoid process","1, 2","3",0
"2","Thromboembolic","Schizophrenia, schizotypal and delusional disorders",0,-0.05,0.05,0.03,"0.97","0.98","0.98","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","1, 2, 3",0
"3","Retinal detachments and breaks","Osteoporosis",0,-0.11,0.11,0.05,"0.99","0.99","0.99","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1","1",0
"4","Essential tremor","Ischaemic stroke and TIA",0,-0.23,0.23,0.12,"1","1","1","Diseases of the nervous system","Diseases of the circulatory system","1","1",0
"5","Primary Malignancy_Prostate","Coronary Heart Disease",0,-0.06,0.06,0.03,"0.99","0.99","0.99","Neoplasms","Diseases of the circulatory system","1, 2","2, 3",0
"6","Gastro-oesophageal reflux disease","Primary Malignancy_Prostate",0,-0.06,0.06,0.03,"0.99","0.99","0.99","Diseases of the digestive system","Neoplasms","2, 3","1, 2",0
"7","Peripheral arterial disease","Tinnitus",0,-0.2,0.2,0.1,"1","1","1","Diseases of the circulatory system","Diseases of the ear and mastoid process","1","1, 2",0
"8","Transient ischaemic attack","Ischaemic stroke and TIA",0.96,0.85,1.07,0.05,"<0.0001","<0.0001",NA,"Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1",1
"9","All stroke","Ischaemic stroke and TIA",0.94,0.84,1.03,0.05,"<0.0001","<0.0001",NA,"Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1",1
"10","Enthesopathies of the upper body","Tendon disorders",0.91,0.87,0.94,0.02,"<0.0001","<0.0001",NA,"Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
