"","Category","SIDIAP (2020)","CPRD (2020)","UKBioBank (2016)"
"1","N","1,053,640","2,425,014","451,240"
"2","Age at Index","","",""
"3","65-74","523,708 (49·7)","1,264,804 (52·2)","220,689 (83·0)"
"4","75-84","347,858 (33)","798,554 (32·9)","45,082 (17·0)"
"5","85+","182,074 (17·3)","361,656 (14·9)","0 (0)"
"6","gender","","",""
"7","Male","452,608 (43)","1,121,914 (46·3)","206,377 (45·7)"
"8","Female","601,032 (57)","1,303,100 (53·7)","244,863 (54·3)"
"9","N gemini conditions (out of 72)","","",""
"10","0","29,309 (2·8)","101,343 (4·2)","78,951 (17·5)"
"11","1","53,104 (5)","146,650 (6·0)","56,521 (12·5)"
"12","2","81,514 (7·7)","194,493 (8·0)","53,054 (11·8)"
"13","3","10,5340 (10)","228,549 (9·4)","48,611 (10·8)"
"14","4","12,1459 (11·5)","242,893 (10·0)","41,798 (9·3)"
"15","5","12,5747 (11·9)","242,235 (10·0)","35,479 (7·9)"
"16","6","12,0043 (11·4)","229,808 (9·5)","29,313 (6·5)"
"17","7","10,6829 (10·1)","206,303 (8·5)","23,897 (5·3)"
"18","8","89,373 (8·5)","177,795 (7·3)","19,223 (4·3)"
"19","9","69,606 (6·6)","150,519 (6·2)","14,949 (3·3)"
"20","10","51,954 (4·9)","123,063 (5·1)","12,100 (2·7)"
"21","11","36,266 (3·4)","97,819 (4·0)","9,397 (2·1)"
"22","12","24,527 (2·3)","75,940 (3·1)","7128 (1·6)"
"23","13-15","31,302 (3)","133,759 (5·5)","12,726 (2·8)"
"24","16-20","7043 (0·7)","64,228 (2·6)","6,713 (1·5)"
"25","21+","224 (0)","9617 (0·4)","1380 (0·3)"
