ltc 1,ltc 2,Results section category,etics Strength,Strength,OR,Rg,domain
Atrial fibrillation,Heart failure,1,Strong,Strong,OR: 7.53 [7.45-7.61],Rg=0.60-SE=0.03,within domain
Chronic sinusitis,Gastro-oesophageal reflux disease,2,Strong,Strong,OR: 2.00 [1.98-2.02],Rg=0.49-SE=0.06,across domain
Erectile dysfunction,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),2,Strong,Strong,OR: 2.20 [2.16-2.23],Rg=0.49-SE=0.10,across domain
Iron deficiency anaemia,Peripheral arterial disease,2,Intermediate,Strong,OR: 2.08 [2.04-2.12],Rg=0.45-SE=0.10,across domain
Coronary Heart Disease,All stroke,2,Strong,Strong,OR: 2.06 [2.04-2.09],Rg=0.49-SE=0.03,within domain
Rheumatoid Arthritis,Polymyalgia Rheumatica,2,Strong,Strong,OR: 2.96 [2.87-3.05],Rg=0.48-SE=0.09,within domain
Transient ischaemic attack,Peripheral arterial disease,2,Intermediate,Strong,OR: 2.30 [2.24-2.35],Rg=0.48-SE=0.08,within domain
Diabetes type 2,Erectile dysfunction,2,Strong,Strong,OR: 3.27 [3.24-3.30],Rg=0.49-SE=0.05,across domain
Osteoarthritis (excl spine),Obesity,2,Strong,Strong,OR: 2.00 [1.99-2.01],Rg=0.54-SE=0.02,across domain
Intervertebral disc disorders,Gastro-oesophageal reflux disease,2,Strong,Intermediate,OR: 1.60 [1.58-1.62],Rg=0.50-SE=0.03,across domain
Tendon disorders,Diverticular disease of intestine (acute and chronic),2,Intermediate,Intermediate,OR: 1.49 [1.48-1.50],Rg=0.27-SE=0.03,across domain
Fibromyalgia,Irritable bowel syndrome,2,Strong,Strong,OR: 3.38 [3.30-3.47],Rg=0.65-SE=0.13,across domain
Fibromyalgia,Asthma,2,Intermediate,Intermediate,OR: 1.87 [1.83-1.92],Rg=0.45-SE=0.06,across domain
Irritable bowel syndrome,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),2,Strong,Intermediate,OR: 1.60 [1.57-1.64],Rg=0.57-SE=0.12,across domain
Vitamin B12 deficiency anaemia,COPD,2,Intermediate,Intermediate,OR: 1.57 [1.55-1.60],Rg=0.35-SE=0.06,across domain
Primary Malignancy_Other Skin and subcutaneous tissue,Rheumatoid Arthritis,3,Weak,Weak,OR: 1.15 [1.12-1.18],Rg=-0.14-SE=0.04,across domain
Enthesopathies of the upper body,"Schizophrenia, schizotypal and delusional disorders",3,Weak,Weak,OR: 0.53 [0.51-0.55],Rg=-0.17-SE=0.03,across domain
Female genital prolapse,Diabetes type 2,4,Weak,Weak,OR: 0.97 [0.96-0.98],Rg=0.13-SE=0.02,across domain
Fibromyalgia,"Schizophrenia, schizotypal and delusional disorders",4,Weak,Weak,OR: 0.84 [0.75-0.94],Rg=0.20-SE=0.04,across domain
Fibromyalgia,Polymyalgia Rheumatica,4,Not Significant,Strong,OR: 3.41 [3.28-3.54],Rg=0.15-SE=0.12,within domain
Primary Malignancy_Colorectal,Iron deficiency anaemia,4,Not Significant,Strong,OR: 2.55 [2.49-2.60],Rg=0.04-SE=0.07,across domain
Primary Malignancy_Bladder,Abdominal aortic aneurysm,4,Not Significant,Strong,OR: 2.23 [2.09-2.37],Rg=0.04-SE=0.12,across domain
,,NA,,,,,
